Date	Polling Firm	ND	SYRIZA	PASOK/ Elia	ANEL	XA	DIMAR	KKE	Potami	Others	Lead
21–24 May	Alco	27.7	24.6	6.4	5.8	12.2	4.6	5.7	13.0	3.1
10–15 May	Public Issue	27.5	28.0	6.5	6.0	11.5	5.5	6.5	8.5	0.5
8–13 May	Marc	27.3	26.1	6.0	7.1	11.8	5.0	5.7	11.0	1.2
18 Apr–12 May	AUEB	25.1	24.9	7.3	4.9	14.4	5.9	7.2	10.3	0.2
23–26 Apr	Alco	26.4	25.6	7.1	6.5	12.0	4.8	6.3	11.3	0.8
22–24 Apr	VPRC	27.0	29.5	7.0	6.0	13.0	4.5	7.0	6.0	2.5
16–17 Apr	Metron Analysis	27.0	26.2	8.0	9.5	10.7	5.6	5.5	7.5	0.8
11–13 Apr	Marc	27.3	27.5	6.7	7.3	12.0	5.4	6.4	7.4	0.2
9 Apr	Pulse RC	25.5	26.0	9.0	6.5	15.5	4.5	6.5	6.5	0.5
5–9 Apr	Public Issue	28.5	27.5	8.0	6.5	11.0	6.5	5.5	6.5	1.0
28 Mar–1 Apr	GPO	25.9	25.9	9.6	8.0	11.5	6.4	7.4	5.3	0.0
28–29 Mar	Alco	26.5	25.7	8.4	8.0	11.7	5.3	6.9	7.5	0.8
27–28 Mar	MRB	27.5	27.0	6.9	7.7	11.3	6.8	5.8	7.0	0.5
26–28 Mar	Marc	27.8	27.9	6.8	7.0	11.5	5.5	5.9	7.6	0.1
20–21 Mar	Kapa Research	26.3	27.1	9.1	5.7	13.3	4.8	6.5	7.2	0.8
20–21 Mar	VPRC	28.5	31.0	6.0	5.5	11.0	5.5	6.0	6.5	2.5
19–20 Mar	Metron Analysis	25.2	25.8	9.0	8.5	11.7	6.3	5.5	8.1	0.6
15 Mar	Metrisi	28.4	28.0	9.2	5.9	11.9	5.0	6.4	5.2	0.4
13–15 Mar	Marc	27.4	28.4	6.8	6.6	11.7	5.7	5.3	8.1	1.0
8–12 Mar	Public Issue	28.5	29.5	7.5	8.0	10.0	6.0	5.5	5.0	1.0
15–22 Feb	Marc	28.0	28.3	6.6	6.6	12.3	5.4	5.5	7.3	0.3
15–19 Feb	Alco	25.3	25.9	8.7	6.5	13.2	5.2	6.0	9.2	0.6
12–14 Feb	Metron Analysis	26.4	27.6	7.5	6.2	11.5	5.6	6.4	8.9	1.2
12–13 Feb	Pulse RC	25.0	26.5	9.0	6.0	15.0	5.0	7.5	6.0	1.5
7–12 Feb	Alco	27.5	26.2	9.4	6.5	12.2	5.2	6.2	6.8	1.3
1–5 Feb	Public Issue	28.5	29.0	7.0	8.0	11.5	6.0	5.5	4.5	0.5
31 Jan–4 Feb	GPO	27.0	26.6	9.5	6.6	12.8	6.1	6.4	5.0	0.4
24 Jan	Pulse RC	25.0	27.0	8.5	6.0	15.0	5.0	6.0	7.5	2.0
22–24 Jan	Alco	28.1	26.4	9.7	7.4	10.9	5.4	5.9	6.2	1.7
22–24 Jan	MRB	29.2	27.8	7.0	6.2	11.6	5.6	5.4	7.2	1.4
22–24 Jan	Kapa Research	27.6	25.5	8.7	5.5	12.6	5.8	6.6	7.7	2.1
18–21 Jan	Marc	28.2	27.9	7.2	7.0	12.2	5.8	5.3	6.4	0.3
17–18 Jan	VPRC	29.5	29.5	6.5	6.0	12.0	5.0	5.5	6.0	0.0
15–17 Jan	Metron Analysis	27.8	28.0	7.7	6.3	10.7	5.7	5.4	8.4	0.2
4–8 Jan	Public Issue	29.0	28.5	8.0	8.0	10.0	7.0	5.5	4.0	0.5
