Date	Polling Firm	ND	SYRIZA	PASOK/ Elia	ANEL	XA	DIMAR	KKE	Potami	Others	Lead
2012_12_21	Kapa Research	25.9	27.2	7.5	4.6	11.8	6.0	6.3	0	10.7	1.3
2012_12_19	Marc	27.0	28.5	7.0	6.8	12.1	5.6	5.9	7.1	1.5
2012_12_14	Alco	26.9	28.9	6.9	5.9	13.3	5.3	5.6	7.2	2.0
2012_12_10	Public Issue	26.0	30.5	8.0	9.0	10.5	6.5	5.5	4.0	4.5
2012_12_06	MRB	26.1	28.7	7.8	7.1	12.1	5.7	5.4	7.1	2.6
2012_12_03	Metron Analysis	26.5	29.5	6.7	8.0	12.0	6.0	5.5	5.7	3.0
2012_11_26	Marc	26.2	29.0	6.4	7.1	12.4	6.1	5.7	7.1	2.8
2012_11_26	VPRC	26.5	31.5	5.0	6.5	12.5	5.5	6.5	6.0	5.0
2012_11_23	Pulse RC	23.5	29.0	7.5	8.0	15.0	4.5	6.0	6.5	5.5
2012_11_17	GPO	24.9	27.6	9.3	8.1	12.8	6.2	5.7	5.4	2.7
2012_11_08	Kapa Research	23.9	27.1	8.8	7.5	12.2	5.4	6.7	8.4	3.2
2012_10_30	Pulse RC	24.5	28.0	8.0	8.0	14.0	5.0	6.0	6.5	3.5
2012_10_23	Marc	26.4	28.8	7.5	6.9	11.8	6.1	5.9	6.6	2.4
2012_10_17	VPRC	27.0	30.5	5.5	7.0	14.0	5.5	6.5	4.0	3.5
2012_10_17	Rass	26.6	27.9	8.4	7.2	10.8	5.9	5.3	7.9	1.3
2012_09_20	MRB	29.0	28.0	10.0	6.0	11.0	5.0	5.0	6.0	1.0
2012_09_20	Rass	28.0	26.7	9.5	7.3	10.8	6.0	5.3	6.4	1.3
2012_09_19	Metron Analysis	26.1	27.7	9.8	7.2	11.7	6.4	5.1	5.9	1.6
2012_09_05	VPRC	28.0	30.0	7.5	7.0	12.0	4.0	6.0	5.5	2.0
2012_09_04	Pulse RC	27.5	26.5	9.0	7.0	11.5	5.0	5.5	8.0	1.0
2012_08_31	Alco	27.8	25.6	10.3	7.6	9.7	5.8	5.3	7.9	2.2
2012_07_25	VPRC	28.0	28.5	9.5	8.5	8.0	7.0	6.0	4.5	0.5
2012_07_12	Kapa Research	27.8	24.4	13.1	7.5	8.7	6.7	5.6	6.2	3.4
2012_07_12	MRB	28.9	26.7	12.3	7.7	7.5	6.3	5.1	5.5	2.2
